age,R_star,L_star,M_star,R_tachocline,M_ini,M_conv,M_rad,I_conv,I_rad
508335.0,2.1316,0.9677,0.43,0.0,0.43,0.43,0.0,5.1999,0.0
541793.7,2.0768,0.9128,0.43,0.0,0.43,0.43,0.0,4.9435,0.0
578107.2,2.0236,0.861,0.43,0.0,0.43,0.43,0.0,4.7002,0.0
617399.0,1.9721,0.8123,0.43,0.0,0.43,0.43,0.0,4.4699,0.0
660013.8,1.9219,0.7665,0.43,0.0,0.43,0.43,0.0,4.2514,0.0
706345.0,1.8731,0.7232,0.43,0.0,0.43,0.43,0.0,4.0434,0.0
756618.6,1.8256,0.6824,0.43,0.0,0.43,0.43,0.0,3.8459,0.0
811076.0,1.7795,0.6442,0.43,0.0,0.43,0.43,0.0,3.6587,0.0
870204.5,1.7345,0.6081,0.43,0.0,0.43,0.43,0.0,3.4806,0.0
934346.3,1.6908,0.5741,0.43,0.0,0.43,0.43,0.0,3.3113,0.0
1003846.9,1.6483,0.5421,0.43,0.0,0.43,0.43,0.0,3.1506,0.0
1079129.9,1.607,0.5121,0.43,0.0,0.43,0.43,0.0,2.998,0.0
1160504.9,1.5668,0.4839,0.43,0.0,0.43,0.43,0.0,2.8533,0.0
1248737.7,1.5277,0.4573,0.43,0.0,0.43,0.43,0.0,2.7157,0.0
1344337.0,1.4897,0.4322,0.43,0.0,0.43,0.43,0.0,2.5849,0.0
1447806.8,1.4527,0.4087,0.43,0.0,0.43,0.43,0.0,2.4605,0.0
1559685.8,1.4166,0.3866,0.43,0.0,0.43,0.43,0.0,2.3424,0.0
1680630.2,1.3816,0.3658,0.43,0.0,0.43,0.43,0.0,2.2302,0.0
1811473.6,1.3475,0.3461,0.43,0.0,0.43,0.43,0.0,2.1235,0.0
1952885.6,1.3143,0.3277,0.43,0.0,0.43,0.43,0.0,2.022,0.0
2105624.7,1.282,0.3103,0.43,0.0,0.43,0.43,0.0,1.9257,0.0
2270266.4,1.2506,0.2939,0.43,0.0,0.43,0.43,0.0,1.8342,0.0
2448297.6,1.22,0.2784,0.43,0.0,0.43,0.43,0.0,1.7471,0.0
2640133.3,1.1903,0.2639,0.43,0.0,0.43,0.43,0.0,1.6644,0.0
2847463.4,1.1613,0.2502,0.43,0.0,0.43,0.43,0.0,1.5856,0.0
3070763.9,1.1331,0.2372,0.43,0.0,0.43,0.43,0.0,1.5108,0.0
