age,R_star,L_star,M_star,R_tachocline,M_ini,M_conv,M_rad,I_conv,I_rad
521998.5,1.9576,0.6874,0.39,0.0,0.39,0.39,0.0,3.8638,0.0
564446.7,1.9067,0.6511,0.39,0.0,0.39,0.39,0.0,3.6716,0.0
610407.4,1.8573,0.6165,0.39,0.0,0.39,0.39,0.0,3.4891,0.0
660173.5,1.8092,0.5835,0.39,0.0,0.39,0.39,0.0,3.3159,0.0
714087.0,1.7625,0.5522,0.39,0.0,0.39,0.39,0.0,3.1516,0.0
772540.7,1.717,0.5227,0.39,0.0,0.39,0.39,0.0,2.9955,0.0
835933.4,1.6728,0.4944,0.39,0.0,0.39,0.39,0.0,2.8472,0.0
904624.7,1.6298,0.4676,0.39,0.0,0.39,0.39,0.0,2.7064,0.0
979076.4,1.5879,0.4421,0.39,0.0,0.39,0.39,0.0,2.5729,0.0
1059816.1,1.5473,0.4179,0.39,0.0,0.39,0.39,0.0,2.4461,0.0
1147363.2,1.5077,0.395,0.39,0.0,0.39,0.39,0.0,2.3257,0.0
1242321.4,1.4692,0.3732,0.39,0.0,0.39,0.39,0.0,2.2115,0.0
1345356.5,1.4318,0.3525,0.39,0.0,0.39,0.39,0.0,2.103,0.0
1457237.3,1.3954,0.3329,0.39,0.0,0.39,0.39,0.0,2.0,0.0
1578800.9,1.3599,0.3143,0.39,0.0,0.39,0.39,0.0,1.902,0.0
1710816.5,1.3254,0.2967,0.39,0.0,0.39,0.39,0.0,1.8089,0.0
1854140.5,1.2918,0.2799,0.39,0.0,0.39,0.39,0.0,1.7206,0.0
2009823.9,1.2592,0.2641,0.39,0.0,0.39,0.39,0.0,1.6367,0.0
2179035.5,1.2274,0.2491,0.39,0.0,0.39,0.39,0.0,1.557,0.0
2362949.0,1.1965,0.235,0.39,0.0,0.39,0.39,0.0,1.4812,0.0
2562888.3,1.1664,0.2215,0.39,0.0,0.39,0.39,0.0,1.4093,0.0
2780178.3,1.137,0.2088,0.39,0.0,0.39,0.39,0.0,1.3409,0.0
3016362.9,1.1085,0.1969,0.39,0.0,0.39,0.39,0.0,1.276,0.0
3273182.2,1.0808,0.1856,0.39,0.0,0.39,0.39,0.0,1.2142,0.0
3552460.0,1.0537,0.1749,0.39,0.0,0.39,0.39,0.0,1.1556,0.0
3856133.5,1.0274,0.1649,0.39,0.0,0.39,0.39,0.0,1.0998,0.0
4186337.6,1.0018,0.1555,0.39,0.0,0.39,0.39,0.0,1.0468,0.0
4545253.1,0.9769,0.1467,0.39,0.0,0.39,0.39,0.0,0.9965,0.0
4935458.7,0.9526,0.1384,0.39,0.0,0.39,0.39,0.0,0.9486,0.0
5359623.6,0.929,0.1306,0.39,0.0,0.39,0.39,0.0,0.9031,0.0
5820569.7,0.9059,0.1233,0.39,0.0,0.39,0.39,0.0,0.8599,0.0
6321108.6,0.8835,0.1164,0.39,0.0,0.39,0.39,0.0,0.8187,0.0
6864265.8,0.8616,0.1099,0.39,0.0,0.39,0.39,0.0,0.7795,0.0
7452428.9,0.8402,0.1039,0.39,0.0,0.39,0.39,0.0,0.7422,0.0
8089274.5,0.8194,0.0982,0.39,0.0,0.39,0.39,0.0,0.7067,0.0
8779093.6,0.7992,0.093,0.39,0.0,0.39,0.39,0.0,0.6729,0.0
9524639.2,0.7794,0.0882,0.39,0.0,0.39,0.39,0.0,0.6407,0.0
10329919.1,0.7601,0.0837,0.39,0.0,0.39,0.39,0.0,0.6101,0.0
11199086.6,0.7414,0.0795,0.39,0.0,0.39,0.39,0.0,0.581,0.0
12137227.7,0.7231,0.0754,0.39,0.0,0.39,0.39,0.0,0.5533,0.0
13149740.0,0.7053,0.0716,0.39,0.0,0.39,0.39,0.0,0.527,0.0
14242026.7,0.6879,0.068,0.39,0.0,0.39,0.39,0.0,0.5019,0.0
15420711.1,0.671,0.0646,0.39,0.0,0.39,0.39,0.0,0.4781,0.0
16692464.7,0.6545,0.0613,0.39,0.0,0.39,0.39,0.0,0.4553,0.0
18064250.7,0.6384,0.0582,0.39,0.0523,0.39,0.3887,0.0007,0.4337,0.0
19543704.3,0.6227,0.0553,0.39,0.067,0.39,0.3871,0.0018,0.4131,0.0
21141000.1,0.6075,0.0525,0.39,0.0896,0.39,0.3826,0.0049,0.3934,0.0002
22864745.1,0.5926,0.0499,0.39,0.096,0.39,0.3803,0.0074,0.3746,0.0003
24724912.2,0.5782,0.0474,0.39,0.1069,0.39,0.3758,0.0121,0.3565,0.0007
26734635.4,0.5641,0.045,0.39,0.1202,0.39,0.3688,0.0191,0.3389,0.0014
28907092.2,0.5504,0.0428,0.39,0.1319,0.39,0.3606,0.0277,0.3217,0.0024
31257238.1,0.5371,0.0407,0.39,0.1397,0.39,0.3531,0.0346,0.3054,0.0034
33801423.7,0.5242,0.0387,0.39,0.144,0.39,0.3471,0.0405,0.2899,0.0042
36559656.7,0.5116,0.0368,0.39,0.1518,0.39,0.3372,0.0503,0.2744,0.0058
39554933.9,0.4994,0.035,0.39,0.1569,0.39,0.3284,0.059,0.2596,0.0073
42809811.6,0.4875,0.0334,0.39,0.1601,0.39,0.3208,0.0667,0.2456,0.0086
46353866.2,0.476,0.0318,0.39,0.1659,0.39,0.3092,0.0782,0.2314,0.0107
50226274.6,0.4649,0.0303,0.39,0.1667,0.39,0.3027,0.0853,0.2187,0.0119
54471248.0,0.4541,0.0289,0.39,0.171,0.39,0.2912,0.0963,0.2056,0.0139
