age,R_star,L_star,M_star,R_tachocline,M_ini,M_conv,M_rad,I_conv,I_rad
501451.0,2.0840799,0.8897716,0.3999997,0.0,0.4,0.3999997,0.0,0.3395651994,0.0
533593.2,2.0306916,0.8395284,0.3999997,0.0,0.4,0.3999997,0.0,0.3228887521,0.0
568531.0,1.9787056,0.792062,0.3999997,0.0,0.4,0.3999997,0.0,0.3070313869,0.0
606442.8,1.9281657,0.7474241,0.3999997,0.0,0.4,0.3999997,0.0,0.291977052,0.0
647583.7,1.8790188,0.7053111,0.3999997,0.0,0.4,0.3999997,0.0,0.277682211,0.0
692200.0,1.8312466,0.6656953,0.3999997,0.0,0.4,0.3999997,0.0,0.2641129865,0.0
740551.3,1.7848205,0.6284956,0.3999997,0.0,0.4,0.3999997,0.0,0.2512348771,0.0
792976.2,1.7396662,0.5934287,0.3999997,0.0,0.4,0.3999997,0.0,0.2390031738,0.0
849778.7,1.6957658,0.5604463,0.3999997,0.0,0.4,0.3999997,0.0,0.2273892392,0.0
911299.9,1.6530865,0.52944,0.3999997,0.0,0.4,0.3999997,0.0,0.2163619818,0.0
977831.5,1.6116369,0.5003508,0.3999997,0.0,0.4,0.3999997,0.0,0.2059024665,0.0
1049986.3,1.5712526,0.4729019,0.3999997,0.0,0.4,0.3999997,0.0,0.1959498137,0.0
1128093.3,1.5319709,0.4471035,0.3999997,0.0,0.4,0.3999997,0.0,0.1864948855,0.0
1212613.8,1.4937613,0.422808,0.3999997,0.0,0.4,0.3999997,0.0,0.1775122077,0.0
1304063.6,1.456583,0.3999348,0.3999997,0.0,0.4,0.3999997,0.0,0.1689755896,0.0
1402849.8,1.4204507,0.3784363,0.3999997,0.0,0.4,0.3999997,0.0,0.1608723575,0.0
1509532.5,1.3853273,0.3582088,0.3999997,0.0,0.4,0.3999997,0.0,0.1531781978,0.0
1625077.7,1.3510743,0.3391102,0.3999996,0.0,0.4,0.3999996,0.0,0.1458488383,0.0
1749441.3,1.3178599,0.3212034,0.3999996,0.0,0.4,0.3999996,0.0,0.1389065379,0.0
1884270.9,1.2854095,0.3042404,0.3999996,0.0,0.4,0.3999996,0.0,0.1322810175,0.0
2029882.8,1.2538227,0.2882385,0.3999996,0.0,0.4,0.3999996,0.0,0.1259813111,0.0
2186883.6,1.2231128,0.2731732,0.3999996,0.0,0.4,0.3999996,0.0,0.1199983237,0.0
2356364.2,1.1932082,0.2589597,0.3999996,0.0,0.4,0.3999996,0.0,0.1143070542,0.0
2539249.7,1.1640893,0.2455319,0.3999996,0.0,0.4,0.3999996,0.0,0.1088934993,0.0
2736416.1,1.1357521,0.2328628,0.3999996,0.0,0.4,0.3999996,0.0,0.1037470039,0.0
2948673.6,1.1082018,0.2209263,0.3999996,0.0,0.4,0.3999996,0.0,0.098858785,0.0
3177464.1,1.0813718,0.2096401,0.3999996,0.0,0.4,0.3999996,0.0,0.094207896,0.0
3423886.2,1.0552556,0.1989832,0.3999996,0.0,0.4,0.3999996,0.0,0.089784785,0.0
3689628.7,1.0297967,0.188901,0.3999996,0.0,0.4,0.3999996,0.0,0.085572107,0.0
3975734.3,1.0050117,0.1793784,0.3999996,0.0,0.4,0.3999996,0.0,0.08156527,0.0
4283448.7,0.9808935,0.1703913,0.3999996,0.0,0.4,0.3999996,0.0,0.0777556898,0.0
4614100.3,0.9574339,0.1619101,0.3999996,0.0,0.4,0.3999996,0.0,0.0741349854,0.0
4970067.1,0.9345647,0.1538809,0.3999996,0.0,0.4,0.3999996,0.0,0.0706862713,0.0
5353687.7,0.9122438,0.1462739,0.3999996,0.0,0.4,0.3999996,0.0,0.0673974244,0.0
5766102.3,0.8905038,0.139083,0.3999996,0.0,0.4,0.3999996,0.0,0.0642675517,0.0
6209285.1,0.8693302,0.1322842,0.3999995,0.0,0.4,0.3999995,0.0,0.0612890128,0.0
6684705.4,0.8487349,0.1258655,0.3999995,0.0,0.4,0.3999995,0.0,0.0584580564,0.0
7196332.0,0.8286301,0.1197804,0.3999995,0.0,0.4,0.3999995,0.0,0.0557576348,0.0
7744047.4,0.8090965,0.1140391,0.3999995,0.0,0.4,0.3999995,0.0,0.0531936207,0.0
8333877.3,0.7899992,0.108587,0.3999995,0.0,0.4,0.3999995,0.0,0.0507439689,0.0
8965716.9,0.7714215,0.1034345,0.3999995,0.0,0.4,0.3999995,0.0,0.0484153029,0.0
9644799.1,0.7532827,0.0985438,0.3999995,0.0,0.4,0.3999995,0.0,0.0461933271,0.0
10373307.8,0.7355974,0.0939106,0.3999995,0.0553564,0.4,0.3989849,0.0006921,0.0440752494,6.579e-07
11154488.1,0.718364,0.0895226,0.3999995,0.077872,0.4,0.3970038,0.0015903,0.0420563354,2.5132e-06
11992491.9,0.701574,0.0853663,0.3999995,0.1033416,0.4,0.3926334,0.0050629,0.0401203302,1.66696e-05
12891149.0,0.6852171,0.0814297,0.3999995,0.1080101,0.4,0.3910192,0.0073661,0.0382756542,2.97956e-05
13853930.7,0.6692995,0.0777025,0.3999995,0.1274719,0.4,0.384509,0.013539,0.0364820145,7.9083e-05
14883389.5,0.6538394,0.0741813,0.3999995,0.1377025,0.4,0.3793612,0.0185393,0.0347740996,0.0001281661
15992063.1,0.6387208,0.0708298,0.3999995,0.1462098,0.4,0.3738748,0.0238948,0.0331256187,0.0001877132
17181824.8,0.6239962,0.0676525,0.3999995,0.1594059,0.4,0.3645618,0.0330568,0.0314860975,0.0003108186
18457452.2,0.609672,0.0646427,0.3999995,0.166728,0.4,0.3572464,0.0402883,0.0299354717,0.0004152007
19827113.9,0.5957241,0.0617877,0.3999995,0.1728894,0.4,0.3497203,0.0477505,0.028440105,0.0005292478
21296984.3,0.5821567,0.0590813,0.3999995,0.1780751,0.4,0.3420346,0.0566736,0.0269736878,0.0006770805
22873838.1,0.5689705,0.0565167,0.3999995,0.1809893,0.4,0.3355442,0.0631516,0.025615567,0.0007769181
24566503.8,0.5561543,0.0540876,0.3999994,0.1860401,0.4,0.3263642,0.0710049,0.0242849566,0.0009061016
26385472.6,0.5436929,0.0517846,0.3999994,0.1914971,0.4,0.3158014,0.0815536,0.0229446316,0.0010981831
28339260.2,0.5315957,0.0496053,0.3999994,0.1937649,0.4,0.307866,0.0894888,0.0217176488,0.0012289168
30442785.2,0.5198356,0.0475396,0.3999994,0.1977152,0.4,0.2973112,0.1000545,0.0204748515,0.001422952
32699076.0,0.508458,0.0455912,0.3999994,0.1989488,0.4,0.2894391,0.1079418,0.019351766,0.0015468735
35135054.8,0.4973961,0.0437441,0.3999994,0.2017257,0.4,0.279033,0.1183761,0.0182084389,0.0017330544
37767407.5,0.4866523,0.0419945,0.3999994,0.2039391,0.4,0.2687608,0.1286843,0.0171124282,0.0019124603
40610450.3,0.476246,0.0403419,0.3999994,0.2056627,0.4,0.2586474,0.1388399,0.0160656087,0.0020832671
43682110.0,0.4661897,0.0387846,0.3999994,0.2069577,0.4,0.2487165,0.1488184,0.0150689607,0.0022439875
47020052.5,0.4564481,0.0373137,0.3999994,0.2093943,0.4,0.2365872,0.1610129,0.0140507462,0.0024619399
50647111.9,0.4470506,0.0359307,0.3999994,0.2098756,0.4,0.2271273,0.1705287,0.0131516593,0.0025974719
54606329.5,0.4379886,0.0346316,0.3999994,0.2114463,0.4,0.2156302,0.1820995,0.0122338525,0.002786541
58971858.0,0.4292201,0.0334076,0.3999994,0.2125942,0.4,0.2045103,0.1932959,0.0113638032,0.0029582584
63802539.9,0.4207777,0.0322606,0.3999994,0.2133891,0.4,0.1937793,0.2041054,0.0105433986,0.0031125661
69181449.0,0.4126813,0.0311903,0.3999994,0.2138951,0.4,0.1834447,0.2145197,0.0097732775,0.0032500512
75274299.6,0.4048861,0.0301874,0.3999994,0.2141361,0.4,0.1735104,0.2245342,0.0090504485,0.0033707336
82312182.8,0.3973636,0.0292436,0.3999994,0.2147024,0.4,0.1630459,0.2350868,0.0083449146,0.0035044887
90619304.4,0.3901112,0.0283511,0.3999993,0.216645,0.4,0.1504254,0.2478185,0.00760622,0.0037060401
100769283.3,0.383078,0.0274904,0.3999993,0.2164111,0.4,0.1418832,0.2547461,0.0070802232,0.0037353223
113930000.4,0.3761403,0.026621,0.3999993,0.2158647,0.4,0.1345261,0.2638651,0.0065211595,0.0038479713
132967868.9,0.3691429,0.0256753,0.3999993,0.2159166,0.4,0.1274768,0.2709823,0.0060639992,0.0039357099
168565158.4,0.3624667,0.0246176,0.3999993,0.2138211,0.4,0.1274768,0.2709823,0.0058996612,0.0038967015
180223742.4,0.3615237,0.0244371,0.3999993,0.2130181,0.4,0.129017,0.2678569,0.0059811404,0.0038146972
255323677.0,0.3611006,0.0241883,0.3999992,0.2078649,0.4,0.1418831,0.2547461,0.0064163608,0.0035287167
470586764.6,0.3648704,0.0245398,0.399999,0.2051881,0.4,0.1539517,0.2442603,0.0069034632,0.0033774538
926655174.4,0.3684536,0.0249278,0.3999986,0.2033763,0.4,0.1630452,0.2350868,0.0073301969,0.003229925
