age,R_star,L_star,M_star,R_tachocline,M_ini,M_conv,M_rad,I_conv,I_rad
528807.2,2.6233,1.3844,0.6,0.0,0.6,0.6,0.0,10.9627,0.0
566144.1,2.555,1.3056,0.6,0.0,0.6,0.6,0.0,10.4131,0.0
606741.9,2.4885,1.2313,0.6,0.0,0.6,0.6,0.0,9.8913,0.0
650694.5,2.4241,1.1611,0.6,0.0,0.6,0.6,0.0,9.3982,0.0
698562.3,2.3614,1.0947,0.6,0.0,0.6,0.6,0.0,8.9292,0.0
750245.2,2.3008,1.0323,0.6,0.0,0.6,0.6,0.0,8.4869,0.0
806562.1,2.2416,0.9733,0.6,0.0,0.6,0.6,0.0,8.066,0.0
867920.2,2.184,0.9176,0.6,0.0,0.6,0.6,0.0,7.6654,0.0
934880.7,2.1277,0.8647,0.6,0.0,0.6,0.6,0.0,7.2837,0.0
1006694.5,2.0737,0.8154,0.6,0.0,0.6,0.6,0.0,6.9261,0.0
1085839.2,2.0204,0.7683,0.6,0.0,0.6,0.6,0.0,6.5818,0.0
1170321.5,1.9694,0.7248,0.6,0.0,0.6,0.6,0.0,6.2606,0.0
1263343.5,1.9192,0.6831,0.6,0.0,0.6,0.6,0.0,5.9514,0.0
1363958.9,1.8705,0.6441,0.6,0.0,0.6,0.6,0.0,5.6591,0.0
1474317.7,1.8227,0.607,0.6,0.0,0.6,0.6,0.0,5.379,0.0
1594540.5,1.7761,0.572,0.6,0.0,0.6,0.6,0.0,5.1126,0.0
1722831.5,1.7316,0.5396,0.6,0.0,0.6,0.6,0.0,4.864,0.0
1864537.5,1.6875,0.5086,0.6,0.0,0.6,0.6,0.0,4.6239,0.0
2018754.1,1.6446,0.4794,0.6,0.0,0.6,0.6,0.0,4.3956,0.0
2185580.0,1.603,0.452,0.6,0.0,0.6,0.6,0.0,4.1798,0.0
2366434.9,1.5626,0.4263,0.6,0.0,0.6,0.6,0.0,3.9752,0.0
2562974.6,1.5233,0.4022,0.6,0.0,0.6,0.6,0.0,3.7807,0.0
2774249.9,1.4853,0.3797,0.6,0.0,0.6,0.6,0.0,3.5976,0.0
3006825.7,1.4478,0.3582,0.6,0.0,0.6,0.6,0.0,3.4211,0.0
3259603.8,1.4113,0.338,0.6,0.0,0.6,0.6,0.0,3.2533,0.0
3533872.2,1.3758,0.319,0.6,0.0,0.6,0.6,0.0,3.0939,0.0
3829744.5,1.3414,0.3012,0.6,0.0,0.6,0.6,0.0,2.9434,0.0
4148189.1,1.3081,0.2847,0.6,0.0,0.6,0.6,0.0,2.8013,0.0
4496349.3,1.2755,0.2689,0.6,0.0,0.6,0.6,0.0,2.6651,0.0
4874481.2,1.2436,0.2541,0.6,0.0,0.6,0.6,0.0,2.5354,0.0
5285217.2,1.2125,0.2401,0.6,0.0,0.6,0.6,0.0,2.412,0.0
5727997.2,1.1824,0.2271,0.6,0.0,0.6,0.6,0.0,2.2952,0.0
6208792.4,1.153,0.2147,0.6,0.0,0.6,0.6,0.0,2.184,0.0
6728454.7,1.1244,0.2031,0.6,0.0,0.6,0.6,0.0,2.0784,0.0
7291484.5,1.0966,0.1921,0.6,0.0,0.6,0.6,0.0,1.978,0.0
7897808.2,1.0696,0.1819,0.6,0.0,0.6,0.6,0.0,1.8828,0.0
8558800.8,1.043,0.1722,0.6,0.0857,0.6,0.598,0.001,1.7917,0.0
