age,R_star,L_star,M_star,R_tachocline,M_ini,M_conv,M_rad,I_conv,I_rad
503596.8,2.6311264,2.4746606,0.7999993,0.0,0.8,0.7999993,0.0,1.0968642814,0.0
540289.8,2.5631147,2.338855,0.7999993,0.0,0.8,0.7999993,0.0,1.0419038338,0.0
580115.7,2.4969134,2.2099891,0.7999993,0.0,0.8,0.7999993,0.0,0.989717646,0.0
623292.0,2.4325645,2.0871714,0.7999993,0.0,0.8,0.7999993,0.0,0.9402368965,0.0
670002.8,2.3701602,1.9708348,0.7999993,0.0,0.8,0.7999993,0.0,0.8934240053,0.0
720766.5,2.3093749,1.8606126,0.7999993,0.0,0.8,0.7999993,0.0,0.8489386732,0.0
775822.2,2.2503006,1.7557074,0.7999992,0.0,0.8,0.7999992,0.0,0.8067607762,0.0
835646.8,2.1927987,1.6558313,0.7999992,0.0,0.8,0.7999992,0.0,0.7667063495,0.0
900710.3,2.1368047,1.5609041,0.7999992,0.0,0.8,0.7999992,0.0,0.7286534054,0.0
971378.1,2.0823637,1.4711264,0.7999992,0.0,0.8,0.7999992,0.0,0.6925573966,0.0
1048124.5,2.0294556,1.3860188,0.7999992,0.0,0.8,0.7999992,0.0,0.6583309137,0.0
1131622.0,1.9779558,1.305284,0.7999992,0.0,0.8,0.7999992,0.0,0.6258257871,0.0
1222081.8,1.9280395,1.2289067,0.7999992,0.0,0.8,0.7999992,0.0,0.5950843901,0.0
1320900.3,1.8792774,1.1563156,0.7999992,0.0,0.8,0.7999992,0.0,0.5657806767,0.0
1428287.2,1.8319054,1.0879573,0.7999992,0.0,0.8,0.7999992,0.0,0.5380014703,0.0
1545241.3,1.7857901,1.0230353,0.7999991,0.0,0.8,0.7999991,0.0,0.5116141351,0.0
1672463.2,1.7409665,0.9616524,0.7999991,0.0,0.8,0.7999991,0.0,0.4865868338,0.0
1811313.5,1.697266,0.9036517,0.7999991,0.0378188,0.8,0.7999446,3.13e-05,0.462775841,1.24e-08
1962695.6,1.654767,0.8489029,0.7999991,0.1086994,0.8,0.7986142,0.0006887,0.440174897,2.0438e-06
2127474.3,1.6134432,0.7973566,0.7999991,0.1614742,0.8,0.7951574,0.0031823,0.4186990995,2.49904e-05
2307350.0,1.5732187,0.7488333,0.7999991,0.2298593,0.8,0.7852817,0.0085183,0.3982024558,0.0001234307
2503149.8,1.5342068,0.7032703,0.7999991,0.255349,0.8,0.7784892,0.0179933,0.3785761332,0.0004114461
2716130.3,1.4964195,0.6608273,0.7999991,0.2950668,0.8,0.764979,0.0309818,0.3596861643,0.0009758139
2950347.0,1.4594525,0.6209315,0.7999991,0.3315136,0.8,0.7477202,0.0478165,0.3411770132,0.0019310038
3206250.2,1.423563,0.5837896,0.799999,0.3606905,0.8,0.7290829,0.0661513,0.3232227033,0.0031832725
3485859.5,1.3887434,0.5492988,0.799999,0.3764182,0.8,0.7144431,0.0806233,0.3062765296,0.0042318912
3789893.8,1.3551408,0.5174668,0.799999,0.4005422,0.8,0.6917259,0.1031614,0.2893094502,0.006129697
4123869.6,1.3224057,0.4879169,0.799999,0.4170593,0.8,0.6710107,0.1237753,0.2730483684,0.0079543482
4489205.2,1.2906806,0.4606638,0.799999,0.4306577,0.8,0.6500016,0.1447264,0.2573471625,0.0098793933
4888482.2,1.2599874,0.435593,0.799999,0.4473878,0.8,0.6235564,0.1711479,0.2415479734,0.0125358001
5323617.3,1.230397,0.4126213,0.799999,0.4560122,0.8,0.6024015,0.1923154,0.2270202875,0.0145475787
5799540.9,1.2017888,0.3915867,0.799999,0.4676227,0.8,0.5761206,0.2212626,0.211963028,0.0176316045
6319951.5,1.1741723,0.372408,0.799999,0.4792007,0.8,0.5475911,0.2472576,0.197836027,0.0202994886
6888972.7,1.1475511,0.3549879,0.7999989,0.4822357,0.8,0.5271828,0.2677445,0.185085599,0.0220743871
7504739.3,1.1221796,0.3393605,0.7999989,0.4920487,0.8,0.4972275,0.2978385,0.1714769856,0.0252623747
8181879.8,1.0976564,0.3253092,0.7999989,0.4960262,0.8,0.4729503,0.3222464,0.1592136965,0.0274601
8923207.3,1.0741238,0.31286,0.7999989,0.5020583,0.8,0.4447265,0.3529564,0.1464154046,0.0305726519
9732131.7,1.051681,0.3020616,0.7999989,0.5064581,0.8,0.4175618,0.3779818,0.1350656846,0.0326205597
10608991.2,1.0304839,0.2929822,0.7999989,0.5125916,0.8,0.387273,0.4084933,0.123319252,0.0354741716
11570226.3,1.0103142,0.2856413,0.7999989,0.5169793,0.8,0.3585382,0.4374518,0.1122714068,0.0379049996
12617511.4,0.9913253,0.2802481,0.7999988,0.5212654,0.8,0.3294959,0.464839,0.101963179,0.0398942177
13757992.9,0.9735404,0.2770292,0.7999988,0.5266801,0.8,0.2987561,0.4977452,0.0910967787,0.0427045435
14991567.8,0.9570529,0.2762931,0.7999988,0.5305505,0.8,0.2702868,0.5264786,0.0814148828,0.0445998622
16321886.0,0.9418192,0.278458,0.7999988,0.5293894,0.8,0.2484995,0.5469542,0.0736747754,0.0447870846
17739437.7,0.9278304,0.2840058,0.7999988,0.536601,0.8,0.2171651,0.5773928,0.0644842592,0.0466762468
19234652.6,0.9148923,0.2932289,0.7999988,0.5422946,0.8,0.1891872,0.6059638,0.0559825779,0.0481184298
20783857.1,0.9028183,0.3059224,0.7999987,0.5425674,0.8,0.1686266,0.6280846,0.0490562329,0.0482717898
22370214.2,0.8914014,0.3216994,0.7999987,0.5431668,0.8,0.1490378,0.6470096,0.0430624438,0.0477920719
23974374.1,0.8805547,0.3398115,0.7999987,0.5441938,0.8,0.1305886,0.6658896,0.0373717483,0.0473471067
25585285.2,0.8702201,0.3598404,0.7999987,0.5485884,0.8,0.1111289,0.6858173,0.0317386022,0.0471972041
27200494.4,0.8603167,0.3812885,0.7999986,0.5494623,0.8,0.0962674,0.7010461,0.027260591,0.046238032
28812559.3,0.8508009,0.4036194,0.7999986,0.5490296,0.8,0.0838005,0.7138282,0.0234769295,0.0449492445
30424478.2,0.8414392,0.4263862,0.7999986,0.5518154,0.8,0.0707802,0.727185,0.019755419,0.043951698
32037802.0,0.8319944,0.4484266,0.7999986,0.550658,0.8,0.0613689,0.7368444,0.0169242408,0.0424242876
33665076.0,0.8220761,0.4685609,0.7999985,0.555028,0.8,0.0504786,0.7484043,0.0138361535,0.0415132247
35319977.4,0.8109889,0.4845206,0.7999985,0.5523065,0.8,0.0439139,0.7547718,0.0119011801,0.0398468243
37027416.8,0.7977429,0.4919719,0.7999985,0.5518461,0.8,0.037302,0.7618527,0.0099104939,0.0387272089
38842418.6,0.7806592,0.4849849,0.7999984,0.5466705,0.8,0.0330865,0.7659017,0.0085940139,0.0375197179
40807275.8,0.759042,0.4597545,0.7999984,0.5378067,0.8,0.0306812,0.7683753,0.0076437785,0.0366087857
43016225.6,0.7352618,0.4201678,0.7999984,0.5268348,0.8,0.0297654,0.7693172,0.0070558279,0.0359802675
45923691.2,0.7129102,0.3755909,0.7999983,0.5141188,0.8,0.0306811,0.7683753,0.0068927365,0.0354862902
51403680.3,0.7007458,0.3455051,0.7999982,0.5063192,0.8,0.0323469,0.7669119,0.0069957648,0.0353489269
64924959.0,0.7035605,0.3475048,0.7999981,0.5068629,0.8,0.0330861,0.7659017,0.0072304362,0.0354123371
98570227.0,0.706601,0.348702,0.7999977,0.5072562,0.8,0.034096,0.7648628,0.007482716,0.0355924006
182290420.4,0.7106066,0.3511499,0.7999966,0.5082126,0.8,0.0351338,0.7637947,0.0077617757,0.0358086416
390613052.0,0.7145006,0.355542,0.799994,0.5108399,0.8,0.0351312,0.7637947,0.0078434123,0.0360290543
843862543.5,0.7193733,0.3634162,0.7999882,0.5132078,0.8,0.0351253,0.7637947,0.0079280999,0.0361045047
1343862543.5,0.7238866,0.3714702,0.7999816,0.5150956,0.8,0.0351187,0.7637947,0.0080008419,0.0361095111
1843862543.5,0.728272,0.3796387,0.7999748,0.5194672,0.8,0.0340731,0.7648628,0.0078802822,0.0362794907
2343862543.5,0.7326354,0.3879439,0.7999678,0.5211616,0.8,0.0340661,0.7648628,0.0079466857,0.0362523943
2843862543.5,0.7370823,0.3965106,0.7999606,0.5228649,0.8,0.0340589,0.7648628,0.008014185,0.0362212311
3343862543.5,0.7416535,0.4053949,0.7999532,0.5273304,0.8,0.0330413,0.7659017,0.0078939145,0.0363788142
3843862543.5,0.7463869,0.4146624,0.7999456,0.5291668,0.8,0.0330337,0.7659017,0.0079648146,0.0363477975
4343862543.5,0.7513066,0.4243534,0.7999378,0.533156,0.8,0.0322865,0.7669119,0.0078497568,0.0365059403
4843862543.5,0.7564248,0.434512,0.7999297,0.5351596,0.8,0.0322784,0.7669119,0.007925506,0.0364769504
5343862543.5,0.7617673,0.4451687,0.7999214,0.5372608,0.8,0.0322701,0.7669119,0.0080051615,0.0364498073
5843862543.5,0.7673624,0.456373,0.7999128,0.5416221,0.8,0.0315375,0.7676513,0.0079460783,0.0365679969
