age,R_star,L_star,M_star,R_tachocline,M_ini,M_conv,M_rad,I_conv,I_rad
532068.6,2.4668,0.9747,0.49,0.0,0.49,0.49,0.0,7.8589,0.0
569910.0,2.4022,0.9198,0.49,0.0,0.49,0.49,0.0,7.464,0.0
611036.7,2.3394,0.8674,0.49,0.0,0.49,0.49,0.0,7.0893,0.0
655697.1,2.2783,0.818,0.49,0.0,0.49,0.49,0.0,6.7341,0.0
704194.9,2.2191,0.7715,0.49,0.0,0.49,0.49,0.0,6.3973,0.0
756877.7,2.1615,0.7275,0.49,0.0,0.49,0.49,0.0,6.0779,0.0
814083.0,2.1055,0.686,0.49,0.0,0.49,0.49,0.0,5.775,0.0
876190.1,2.0511,0.6469,0.49,0.0,0.49,0.49,0.0,5.4878,0.0
943620.9,1.9982,0.6101,0.49,0.0,0.49,0.49,0.0,5.2154,0.0
1016836.9,1.9468,0.5754,0.49,0.0,0.49,0.49,0.0,4.9569,0.0
1096309.0,1.8969,0.5428,0.49,0.0,0.49,0.49,0.0,4.7117,0.0
1182613.8,1.8483,0.5122,0.49,0.0,0.49,0.49,0.0,4.4789,0.0
1276352.5,1.8011,0.4833,0.49,0.0,0.49,0.49,0.0,4.2578,0.0
1378084.7,1.7551,0.4561,0.49,0.0,0.49,0.49,0.0,4.048,0.0
1488421.7,1.7104,0.4305,0.49,0.0,0.49,0.49,0.0,3.8489,0.0
1608045.6,1.667,0.4065,0.49,0.0,0.49,0.49,0.0,3.6599,0.0
1737720.4,1.6248,0.384,0.49,0.0,0.49,0.49,0.0,3.4806,0.0
1878262.7,1.5837,0.3628,0.49,0.0,0.49,0.49,0.0,3.3103,0.0
2030504.0,1.5437,0.3428,0.49,0.0,0.49,0.49,0.0,3.1486,0.0
2195367.9,1.5049,0.3241,0.49,0.0,0.49,0.49,0.0,2.9951,0.0
2373959.2,1.4671,0.3064,0.49,0.0,0.49,0.49,0.0,2.8493,0.0
2567304.8,1.4303,0.2898,0.49,0.0,0.49,0.49,0.0,2.7107,0.0
2776525.2,1.3945,0.2741,0.49,0.0,0.49,0.49,0.0,2.5791,0.0
3002831.9,1.3597,0.2594,0.49,0.0,0.49,0.49,0.0,2.4542,0.0
3247635.0,1.3258,0.2455,0.49,0.0,0.49,0.49,0.0,2.3354,0.0
3512509.8,1.2928,0.2324,0.49,0.0,0.49,0.49,0.0,2.2226,0.0
3798770.5,1.2607,0.22,0.49,0.0,0.49,0.49,0.0,2.1154,0.0
4108068.6,1.2294,0.2084,0.49,0.0,0.49,0.49,0.0,2.0135,0.0
4442214.0,1.199,0.1974,0.49,0.0,0.49,0.49,0.0,1.9168,0.0
4803347.2,1.1695,0.187,0.49,0.0,0.49,0.49,0.0,1.8249,0.0
5193484.9,1.1407,0.1771,0.49,0.0,0.49,0.49,0.0,1.7374,0.0
5614652.2,1.1126,0.1679,0.49,0.0,0.49,0.49,0.0,1.6544,0.0
6069170.7,1.0854,0.1591,0.49,0.0,0.49,0.49,0.0,1.5755,0.0
6559555.5,1.0588,0.1509,0.49,0.0,0.49,0.49,0.0,1.5005,0.0
7088670.1,1.033,0.1431,0.49,0.0,0.49,0.49,0.0,1.4292,0.0
7659356.8,1.0079,0.1357,0.49,0.0,0.49,0.49,0.0,1.3615,0.0
8274544.4,0.9834,0.1287,0.49,0.0,0.49,0.49,0.0,1.297,0.0
8938206.3,0.9596,0.1221,0.49,0.0,0.49,0.49,0.0,1.2358,0.0
9653332.9,0.9363,0.1159,0.49,0.0,0.49,0.49,0.0,1.1774,0.0
10423604.4,0.9137,0.11,0.49,0.0,0.49,0.49,0.0,1.122,0.0
11253486.5,0.8917,0.1044,0.49,0.0,0.49,0.49,0.0,1.0693,0.0
12147566.8,0.8702,0.0991,0.49,0.0,0.49,0.49,0.0,1.0191,0.0
13110421.3,0.8494,0.094,0.49,0.0,0.49,0.49,0.0,0.9714,0.0
14147157.2,0.829,0.0892,0.49,0.0,0.49,0.49,0.0,0.9259,0.0
15264047.8,0.8092,0.0847,0.49,0.0665,0.49,0.4884,0.0008,0.8828,0.0
16467900.0,0.79,0.0804,0.49,0.0966,0.49,0.4847,0.003,0.8416,0.0001
17765210.4,0.7712,0.0764,0.49,0.1212,0.49,0.479,0.0071,0.8022,0.0004
19165265.0,0.753,0.0725,0.49,0.1346,0.49,0.474,0.0132,0.7643,0.0011
20676243.1,0.7352,0.0688,0.49,0.1514,0.49,0.466,0.0214,0.7275,0.0024
22308347.3,0.718,0.0653,0.49,0.1611,0.49,0.4594,0.0286,0.6924,0.0038
24072485.1,0.7012,0.062,0.49,0.1749,0.49,0.4488,0.0391,0.6578,0.0061
25980586.4,0.6849,0.0589,0.49,0.1823,0.49,0.4406,0.0464,0.6254,0.0078
28046694.5,0.6691,0.0559,0.49,0.1931,0.49,0.4284,0.06,0.5924,0.0115
30286501.1,0.6537,0.0531,0.49,0.2038,0.49,0.4142,0.0726,0.5608,0.0151
32717235.4,0.6389,0.0504,0.49,0.2096,0.49,0.403,0.0838,0.5308,0.0184
35359662.2,0.6244,0.0479,0.49,0.2144,0.49,0.3917,0.0951,0.5019,0.0218
38236867.0,0.6105,0.0455,0.49,0.2211,0.49,0.3771,0.1096,0.4728,0.0266
41375668.8,0.597,0.0433,0.49,0.2266,0.49,0.3626,0.1242,0.4446,0.0314
44807512.0,0.5839,0.0412,0.49,0.2299,0.49,0.3497,0.1371,0.4183,0.0354
48567522.0,0.5714,0.0393,0.49,0.2336,0.49,0.3355,0.1514,0.3923,0.0401
52698235.7,0.5592,0.0376,0.49,0.2386,0.49,0.3184,0.1686,0.3658,0.0461
57244605.4,0.5476,0.0361,0.49,0.2417,0.49,0.3031,0.1838,0.3413,0.0511
62266085.3,0.5364,0.0347,0.49,0.244,0.49,0.2883,0.1987,0.3179,0.0557
67831829.0,0.5256,0.0336,0.49,0.2475,0.49,0.2711,0.2161,0.2941,0.0614
74031145.6,0.5154,0.0325,0.49,0.2495,0.49,0.2559,0.2321,0.272,0.0664
80989836.2,0.5056,0.0317,0.49,0.2517,0.49,0.2399,0.2475,0.2511,0.0707
88886132.2,0.4963,0.031,0.49,0.2533,0.49,0.2247,0.2628,0.2312,0.075
98003235.1,0.4874,0.0305,0.49,0.2552,0.49,0.209,0.2787,0.2118,0.0794
108814719.0,0.4791,0.03,0.49,0.2561,0.49,0.1952,0.2926,0.1945,0.0826
122199331.2,0.4711,0.0296,0.49,0.2574,0.49,0.181,0.3068,0.1779,0.0861
140197708.3,0.4635,0.0291,0.49,0.2608,0.49,0.1647,0.3233,0.161,0.0915
170582985.1,0.4561,0.028,0.49,0.2605,0.49,0.158,0.3291,0.1523,0.0926
192064755.0,0.4538,0.0273,0.49,0.2605,0.49,0.158,0.3291,0.1515,0.0932
243246048.1,0.4534,0.0263,0.49,0.2588,0.49,0.1647,0.3233,0.1564,0.092
424055001.1,0.4575,0.0262,0.49,0.2584,0.49,0.1727,0.3152,0.1653,0.0905
844125193.4,0.4606,0.0264,0.49,0.2561,0.49,0.181,0.3068,0.173,0.0872
1344125193.4,0.4626,0.0266,0.49,0.2573,0.49,0.181,0.3068,0.1746,0.088
1844125193.4,0.4642,0.0267,0.49,0.257,0.49,0.1832,0.3036,0.1778,0.0867
2344125193.4,0.4653,0.0269,0.49,0.2576,0.49,0.1832,0.3036,0.1786,0.087
2844125193.4,0.4663,0.027,0.49,0.258,0.49,0.1832,0.3036,0.1792,0.0871
3344125193.4,0.467,0.0271,0.49,0.2564,0.49,0.1864,0.3015,0.181,0.086
3844125193.4,0.4678,0.0272,0.49,0.2566,0.49,0.1864,0.3015,0.1814,0.086
4344125193.4,0.4684,0.0273,0.49,0.2567,0.49,0.1864,0.3015,0.1818,0.086
4844125193.4,0.469,0.0274,0.49,0.2569,0.49,0.1864,0.3015,0.1821,0.086
5344125193.4,0.4696,0.0275,0.49,0.257,0.49,0.1864,0.3015,0.1824,0.086
5844125193.4,0.4702,0.0276,0.49,0.2589,0.49,0.1832,0.3036,0.1814,0.0873
6344125193.4,0.4707,0.0277,0.49,0.259,0.49,0.1832,0.3036,0.1816,0.0873
6844125193.4,0.4713,0.0278,0.49,0.259,0.49,0.1832,0.3036,0.1819,0.0872
7344125193.4,0.4718,0.0279,0.49,0.2591,0.49,0.1832,0.3036,0.1821,0.0872
7844125193.4,0.4723,0.028,0.49,0.2591,0.49,0.1831,0.3036,0.1823,0.0871
8344125193.4,0.4728,0.0281,0.49,0.2592,0.49,0.1831,0.3036,0.1825,0.087
8844125193.4,0.4732,0.0282,0.49,0.2592,0.49,0.1831,0.3036,0.1827,0.087
9344125193.4,0.4737,0.0283,0.49,0.2592,0.49,0.1831,0.3036,0.1829,0.0869
9844125193.4,0.4742,0.0284,0.49,0.2605,0.49,0.181,0.3068,0.1812,0.0888
10344125193.4,0.4747,0.0285,0.49,0.2605,0.49,0.181,0.3068,0.1814,0.0887
10844125193.4,0.4752,0.0286,0.49,0.2605,0.49,0.181,0.3068,0.1816,0.0886
11344125193.4,0.4756,0.0287,0.49,0.2605,0.49,0.181,0.3068,0.1817,0.0885
11844125193.4,0.4761,0.0288,0.49,0.2605,0.49,0.181,0.3068,0.1819,0.0884
12344125193.4,0.4765,0.0289,0.49,0.2605,0.49,0.181,0.3068,0.1821,0.0883
12844125193.4,0.477,0.029,0.49,0.2605,0.49,0.181,0.3068,0.1823,0.0882
13344125193.4,0.4775,0.0291,0.49,0.2605,0.49,0.181,0.3068,0.1824,0.0881
13844125193.4,0.4779,0.0292,0.49,0.2617,0.49,0.1789,0.309,0.1813,0.0893
14344125193.4,0.4784,0.0293,0.49,0.2617,0.49,0.1789,0.309,0.1815,0.0893
14844125193.4,0.4788,0.0294,0.49,0.2617,0.49,0.1789,0.309,0.1817,0.0892
15344125193.4,0.4793,0.0295,0.49,0.2617,0.49,0.1789,0.309,0.1818,0.0891
15844125193.4,0.4797,0.0296,0.49,0.263,0.49,0.1768,0.3111,0.1807,0.0902
16344125193.4,0.4802,0.0297,0.49,0.263,0.49,0.1768,0.3111,0.1808,0.0901
16844125193.4,0.4807,0.0298,0.49,0.2629,0.49,0.1768,0.3111,0.181,0.09
17344125193.4,0.4811,0.0299,0.49,0.2629,0.49,0.1768,0.3111,0.1812,0.0899
17844125193.4,0.4816,0.03,0.49,0.2629,0.49,0.1768,0.3111,0.1813,0.0898
18344125193.4,0.4821,0.0301,0.49,0.2629,0.49,0.1768,0.3111,0.1815,0.0897
18844125193.4,0.4825,0.0302,0.49,0.2642,0.49,0.1748,0.3131,0.1804,0.0909
19344125193.4,0.483,0.0303,0.49,0.2642,0.49,0.1748,0.3131,0.1805,0.0908
19844125193.4,0.4834,0.0304,0.49,0.2641,0.49,0.1748,0.3131,0.1807,0.0907
20344125193.4,0.4839,0.0305,0.49,0.2641,0.49,0.1748,0.3131,0.1809,0.0906
20844125193.4,0.4844,0.0306,0.49,0.2641,0.49,0.1748,0.3131,0.181,0.0905
21344125193.4,0.4849,0.0307,0.49,0.2654,0.49,0.1727,0.3152,0.1799,0.0916
21844125193.4,0.4853,0.0308,0.49,0.2653,0.49,0.1727,0.3152,0.18,0.0915
22344125193.4,0.4858,0.0309,0.49,0.2653,0.49,0.1727,0.3152,0.1802,0.0914
22844125193.4,0.4863,0.031,0.49,0.2666,0.49,0.1707,0.3173,0.1791,0.0926
23344125193.4,0.4868,0.0311,0.49,0.2666,0.49,0.1707,0.3173,0.1792,0.0925
23844125193.4,0.4873,0.0312,0.49,0.2666,0.49,0.1707,0.3173,0.1794,0.0924
24344125193.4,0.4878,0.0313,0.49,0.2665,0.49,0.1707,0.3173,0.1796,0.0922
24844125193.4,0.4883,0.0314,0.49,0.2665,0.49,0.1707,0.3173,0.1797,0.0921
25344125193.4,0.4887,0.0316,0.49,0.2665,0.49,0.1707,0.3173,0.1799,0.092
25844125193.4,0.4892,0.0317,0.49,0.2665,0.49,0.1707,0.3173,0.18,0.0919
26344125193.4,0.4896,0.0318,0.49,0.2664,0.49,0.1707,0.3173,0.1802,0.0917
26844125193.4,0.49,0.0319,0.49,0.2664,0.49,0.1707,0.3173,0.1803,0.0916
27344125193.4,0.4904,0.0321,0.49,0.2677,0.49,0.1687,0.3193,0.1791,0.0928
27844125193.4,0.4908,0.0322,0.49,0.2676,0.49,0.1687,0.3193,0.1792,0.0926
28344125193.4,0.4912,0.0323,0.49,0.2676,0.49,0.1687,0.3193,0.1794,0.0925
28844125193.4,0.4916,0.0325,0.49,0.2689,0.49,0.1667,0.3213,0.1782,0.0936
29344125193.4,0.492,0.0326,0.49,0.2688,0.49,0.1667,0.3213,0.1783,0.0935
29844125193.4,0.4925,0.0327,0.49,0.2688,0.49,0.1667,0.3213,0.1784,0.0934
30344125193.4,0.4929,0.0329,0.49,0.2687,0.49,0.1667,0.3213,0.1786,0.0932
30844125193.4,0.4933,0.033,0.49,0.2687,0.49,0.1667,0.3213,0.1787,0.0931
31344125193.4,0.4938,0.0331,0.49,0.2687,0.49,0.1667,0.3213,0.1788,0.093
31844125193.4,0.4942,0.0333,0.49,0.2686,0.49,0.1667,0.3213,0.179,0.0928
32344125193.4,0.4947,0.0334,0.49,0.2699,0.49,0.1647,0.3233,0.1778,0.094
32844125193.4,0.4952,0.0336,0.49,0.2699,0.49,0.1647,0.3233,0.178,0.0938
33344125193.4,0.4956,0.0337,0.49,0.2698,0.49,0.1647,0.3233,0.1781,0.0937
33844125193.4,0.4961,0.0338,0.49,0.2698,0.49,0.1647,0.3233,0.1783,0.0935
34344125193.4,0.4966,0.034,0.49,0.2698,0.49,0.1647,0.3233,0.1784,0.0934
34844125193.4,0.4971,0.0341,0.49,0.2697,0.49,0.1647,0.3233,0.1786,0.0932
35344125193.4,0.4975,0.0343,0.49,0.2697,0.49,0.1647,0.3233,0.1787,0.0931
