age,R_star,L_star,M_star,R_tachocline,M_ini,M_conv,M_rad,I_conv,I_rad
529151.7,2.4015,0.9935,0.47,0.0,0.47,0.47,0.0,7.1832,0.0
564029.2,2.3392,0.9361,0.47,0.0,0.47,0.47,0.0,6.8257,0.0
601963.6,2.2786,0.882,0.47,0.0,0.47,0.47,0.0,6.4863,0.0
643170.9,2.2198,0.8312,0.47,0.0,0.47,0.47,0.0,6.1645,0.0
687872.8,2.1627,0.7836,0.47,0.0,0.47,0.47,0.0,5.8596,0.0
736337.2,2.1072,0.7389,0.47,0.0,0.47,0.47,0.0,5.5707,0.0
789087.3,2.0532,0.6968,0.47,0.0,0.47,0.47,0.0,5.2958,0.0
846273.6,2.0008,0.6574,0.47,0.0,0.47,0.47,0.0,5.0353,0.0
908295.6,1.9498,0.6205,0.47,0.0,0.47,0.47,0.0,4.788,0.0
975627.5,1.9001,0.5858,0.47,0.0,0.47,0.47,0.0,4.5531,0.0
1048696.8,1.8518,0.5533,0.47,0.0,0.47,0.47,0.0,4.3299,0.0
1127846.2,1.8049,0.5228,0.47,0.0,0.47,0.47,0.0,4.118,0.0
1213652.5,1.7592,0.4942,0.47,0.0,0.47,0.47,0.0,3.9166,0.0
1306350.8,1.7148,0.4673,0.47,0.0,0.47,0.47,0.0,3.7258,0.0
1406822.3,1.6716,0.4421,0.47,0.0,0.47,0.47,0.0,3.5444,0.0
1515574.4,1.6296,0.4183,0.47,0.0,0.47,0.47,0.0,3.3719,0.0
1633398.7,1.5886,0.3959,0.47,0.0,0.47,0.47,0.0,3.2079,0.0
1760725.8,1.5488,0.3748,0.47,0.0,0.47,0.47,0.0,3.0522,0.0
1898274.0,1.5101,0.3549,0.47,0.0,0.47,0.47,0.0,2.9044,0.0
2046945.7,1.4724,0.3362,0.47,0.0,0.47,0.47,0.0,2.7639,0.0
2207462.2,1.4357,0.3185,0.47,0.0,0.47,0.47,0.0,2.6305,0.0
2380028.8,1.4002,0.3019,0.47,0.0,0.47,0.47,0.0,2.5042,0.0
2567016.2,1.3655,0.2862,0.47,0.0,0.47,0.47,0.0,2.3838,0.0
2768815.3,1.3317,0.2714,0.47,0.0,0.47,0.47,0.0,2.2694,0.0
2986380.7,1.2989,0.2574,0.47,0.0,0.47,0.47,0.0,2.1607,0.0
3220897.2,1.2669,0.2441,0.47,0.0,0.47,0.47,0.0,2.0575,0.0
3473967.9,1.2358,0.2316,0.47,0.0,0.47,0.47,0.0,1.9593,0.0
3746402.1,1.2056,0.2198,0.47,0.0,0.47,0.47,0.0,1.866,0.0
4040418.2,1.1761,0.2086,0.47,0.0,0.47,0.47,0.0,1.7773,0.0
4356989.4,1.1474,0.198,0.47,0.0,0.47,0.47,0.0,1.6929,0.0
4698222.1,1.1195,0.188,0.47,0.0,0.47,0.47,0.0,1.6127,0.0
5065052.4,1.0923,0.1786,0.47,0.0,0.47,0.47,0.0,1.5365,0.0
5460230.3,1.0659,0.1696,0.47,0.0,0.47,0.47,0.0,1.4641,0.0
5885911.6,1.0401,0.1611,0.47,0.0,0.47,0.47,0.0,1.3951,0.0
6344433.4,1.015,0.1531,0.47,0.0,0.47,0.47,0.0,1.3294,0.0
6837845.7,0.9905,0.1455,0.47,0.0,0.47,0.47,0.0,1.267,0.0
7368506.0,0.9667,0.1384,0.47,0.0,0.47,0.47,0.0,1.2076,0.0
7938212.0,0.9436,0.1316,0.47,0.0,0.47,0.47,0.0,1.1511,0.0
8552019.4,0.9209,0.1252,0.47,0.0,0.47,0.47,0.0,1.0973,0.0
9211561.3,0.8989,0.1191,0.47,0.0,0.47,0.47,0.0,1.0461,0.0
9918994.8,0.8775,0.1133,0.47,0.0,0.47,0.47,0.0,0.9975,0.0
10678694.9,0.8567,0.1079,0.47,0.0,0.47,0.47,0.0,0.9511,0.0
11494900.9,0.8363,0.1027,0.47,0.0553,0.47,0.4692,0.0004,0.907,0.0
12370294.5,0.8165,0.0978,0.47,0.0819,0.47,0.4672,0.0016,0.865,0.0
13310138.5,0.7972,0.0932,0.47,0.0921,0.47,0.4657,0.0028,0.825,0.0001
14318576.3,0.7785,0.0888,0.47,0.1141,0.47,0.4614,0.0068,0.7867,0.0004
15402769.1,0.7602,0.0847,0.47,0.1378,0.47,0.4541,0.0137,0.7495,0.0013
16568478.0,0.7424,0.0807,0.47,0.1487,0.47,0.4488,0.0182,0.7143,0.0019
17822067.4,0.725,0.077,0.47,0.1656,0.47,0.4393,0.0281,0.6794,0.0038
19164787.0,0.7082,0.0734,0.47,0.176,0.47,0.4312,0.0361,0.6462,0.0056
20606686.8,0.6919,0.0701,0.47,0.1846,0.47,0.4227,0.0459,0.6139,0.0081
22155583.1,0.676,0.067,0.47,0.1938,0.47,0.4124,0.0546,0.5831,0.0103
23823290.2,0.6605,0.064,0.47,0.1997,0.47,0.4034,0.0636,0.5534,0.0128
25614355.1,0.6455,0.0612,0.47,0.2078,0.47,0.3912,0.0757,0.5238,0.0164
27539009.7,0.631,0.0585,0.47,0.2147,0.47,0.3788,0.0881,0.4951,0.0203
29617195.1,0.6169,0.056,0.47,0.219,0.47,0.3679,0.0989,0.468,0.0236
31856023.9,0.6032,0.0536,0.47,0.2252,0.47,0.354,0.1129,0.4406,0.0283
34274639.1,0.5898,0.0514,0.47,0.2266,0.47,0.3447,0.1222,0.4163,0.0309
36871425.8,0.577,0.0493,0.47,0.2311,0.47,0.3309,0.1361,0.391,0.0355
39682090.9,0.5646,0.0473,0.47,0.2336,0.47,0.3188,0.1482,0.3675,0.0393
